source,target,code,match
https://search.cesipagano.com/i/irvine-listings-1500000-,https://www.cesipagano.com/listing-report/Irvine-Listings-1-500-000/2996864,301,url
https://search.cesipagano.com/i/irvine-listings-500000-750000,https://www.cesipagano.com/listing-report/Irvine-Listings-500-000-750-000/2996866,301,url
https://search.cesipagano.com/i/irvine-listings-750000-1000000,https://www.cesipagano.com/listing-report/Irvine-Listings-750-000-1-000-000/2996867,301,url
https://search.cesipagano.com/i/ladera-ranch-active-condos-and-townhome,https://www.cesipagano.com/listing-report/Ladera-Ranch-Active-Condos-and-Townhome/2996868,301,url
https://search.cesipagano.com/i/ladera-ranch-foreclosures,https://www.cesipagano.com/listing-report/Ladera-Ranch-Foreclosures/2996870,301,url
https://search.cesipagano.com/i/ladera-ranch-homes-1000000-1500000,https://www.cesipagano.com/listing-report/Ladera-Ranch-Homes-1-000-000-1-500-000/2996872,301,url
https://search.cesipagano.com/i/ladera-ranch-homes-for-sale,https://www.cesipagano.com/listing-report/Ladera-Ranch-Homes-for-sale/2996873,301,url
https://search.cesipagano.com/i/ladera-ranch-listings-0-500000,https://www.cesipagano.com/listing-report/Ladera-Ranch-Listings-0-500-000/2996874,301,url
https://search.cesipagano.com/i/ladera-ranch-listings-1500000-,https://www.cesipagano.com/listing-report/Ladera-Ranch-Listings-1-500-000/2996876,301,url
https://search.cesipagano.com/i/ladera-ranch-listings-500000-750000,https://www.cesipagano.com/listing-report/Ladera-Ranch-Listings-500-000-750-000/2996877,301,url
https://search.cesipagano.com/i/ladera-ranch-listings-750000-1000000,https://www.cesipagano.com/listing-report/Ladera-Ranch-Listings-750-000-1-000-000/2996883,301,url
https://search.cesipagano.com/i/laguna-beach-condos-and-townhomes-for-sale,https://www.cesipagano.com/listing-report/Laguna-Beach-Condos-and-Townhomes-for-Sale/2996885,301,url
https://search.cesipagano.com/i/laguna-beach-foreclosures,https://www.cesipagano.com/listing-report/Laguna-Beach-Foreclosures/2996886,301,url
https://search.cesipagano.com/i/laguna-beach-homes-1000000-1500000,https://www.cesipagano.com/listing-report/Laguna-Beach-Homes-1-000-000-1-500-000/2996887,301,url
https://search.cesipagano.com/i/laguna-beach-homes-for-sale,https://www.cesipagano.com/listing-report/Laguna-Beach-Homes-for-Sale/2996889,301,url
https://search.cesipagano.com/i/laguna-beach-listings-0-500000,https://www.cesipagano.com/listing-report/Laguna-Beach-Listings-0-500-000/2996890,301,url
https://search.cesipagano.com/i/laguna-beach-listings-1500000-,https://www.cesipagano.com/listing-report/Laguna-Beach-Listings-1-500-000/2996892,301,url
https://search.cesipagano.com/i/laguna-beach-listings-500000-750000,https://www.cesipagano.com/listing-report/Laguna-Beach-Listings-500-000-750-000/2996893,301,url
https://search.cesipagano.com/i/laguna-beach-listings-750000-1000000,https://www.cesipagano.com/listing-report/Laguna-Beach-Listings-750-000-1-000-000/2996894,301,url
https://search.cesipagano.com/i/laguna-hills-active-listings,https://www.cesipagano.com/listing-report/Laguna-Hills-Active-Listings/2996895,301,url
https://search.cesipagano.com/i/laguna-hills-condos-and-townhomes-for-sale,https://www.cesipagano.com/listing-report/Laguna-Hills-Condos-and-Townhomes-for-Sale/2996899,301,url
https://search.cesipagano.com/i/laguna-hills-listings-1000000-1500000,https://www.cesipagano.com/listing-report/Laguna-Hills-Listings-1-000-000-1-500-000/2996901,301,url
https://search.cesipagano.com/i/laguna-hills-listings-1500000-2000000,https://www.cesipagano.com/listing-report/Laguna-Hills-Listings-1-500-000-2-000-000/2996902,301,url
